encounter,hemisphere,terrain,pca_1,pca_2,pca_3,pca_4,pca_5,nmf_1,nmf_2,nmf_3,nmf_4
E6,leading,chaos,-10.899269671230428,-0.7617543309527454,-0.397594024220879,2.9230465439691273,-1.8218990507105568,0.050629062547336526,0.0,0.0976938617727931,0.5247417291825514
E6,leading,chaos,-10.919275109504852,-0.9467917018950259,-0.33142716220801693,2.949334224151265,-1.8364358770745874,0.04823836777671172,0.0,0.09688771082976629,0.5272800591679526
E6,leading,chaos,-11.034074778573345,-1.1762368907077834,-0.2197178775004899,2.989213729111407,-1.8585499119233808,0.04421567111205301,0.0,0.09527837363939654,0.5339364036896607
E6,leading,chaos,-11.033644179377077,-1.274682745947898,-0.1623833899690763,3.0133148993191408,-1.850223008661971,0.04275674191891954,0.0,0.09553283229147483,0.5357186282341806
E6,leading,chaos,-10.994853743298046,-1.310208793500553,-0.17964923963106574,3.0168688277591964,-1.8157497615738931,0.042936299597979635,0.0,0.09695547315157611,0.5326103013277036
E6,leading,chaos,-11.091794075848345,-2.164602131661449,-0.5103668823457332,2.9092742526068847,-1.7823096273987333,0.04134970036839553,0.0,0.09141080647636232,0.5159543843643367
E6,leading,chaos,-10.75523729738272,-0.24504655762322108,-0.5514572777576324,2.788041401160777,-1.6653080222543375,0.05735322536051259,0.0,0.10100108195257686,0.5160618420440648
E6,leading,chaos,-10.81266380899673,-0.43714694900366535,-0.4646258486689706,2.8386740784924385,-1.716970298805491,0.05452240681568797,0.0,0.0999257445304594,0.5202352356930696
E6,leading,chaos,-10.85725284720653,-0.6319721778696724,-0.3916686672706326,2.857592181396181,-1.73167324167578,0.051823274577391,0.0,0.09873435874656973,0.5235981469658633
E6,leading,chaos,-10.947693801383368,-0.8609419134346028,-0.29406019358073715,2.914417943711161,-1.768236109573502,0.0480333085297649,0.0,0.09739097130715466,0.5296119548050853
E6,leading,chaos,-10.9712971330606,-0.9477085328799779,-0.26127701170599366,2.9302255609836534,-1.7610077141124807,0.04670960107341858,0.0,0.09721113171188689,0.5312633877379497
E6,leading,chaos,-10.910564760230656,-0.8827965714977408,-0.3138199114014677,2.9159265596063957,-1.7230794283886182,0.04821269950844793,0.0,0.09872564229094967,0.5270053762972455
E6,leading,chaos,-10.779614404452081,-1.0039882393688366,-0.47786073654403466,2.86611886330653,-1.650628645579929,0.05060381843319899,0.0,0.10049574126307537,0.5143838570236906
E6,leading,chaos,-10.708005246088362,-2.1569626767209367,-0.9642156992028635,2.7535055801323813,-1.5419509821956787,0.05047552478949785,0.0,0.09689720609728747,0.48336775591528747
E6,leading,chaos,-10.587257444957624,0.5062475067150803,-0.7445622646323539,2.7054617811451704,-1.5255105131513282,0.06601313035057686,0.0,0.1071022843490484,0.5058045461677908
E6,leading,chaos,-10.688520949307987,0.2030464557661936,-0.628876410174166,2.709662087143995,-1.547118636752159,0.06201878334103771,0.0,0.10469021661959341,0.511183769236626
E6,leading,chaos,-10.740187082480041,0.020409565451375504,-0.5338624629446717,2.677458440128685,-1.523560426334235,0.05941732887294916,0.0,0.10315389024429604,0.5150163577853586
E6,leading,chaos,-10.795233680402992,-0.17980392260033928,-0.46950086937903707,2.7191080919070543,-1.5528155645929098,0.056504466741446574,0.0,0.1019868440631407,0.51902159374724
E6,leading,chaos,-10.76701688910395,-0.17936087634297151,-0.4920240593510329,2.7432053064724045,-1.5482409163928297,0.05663971049096218,0.0,0.10234124147834804,0.518493400383584
E6,leading,chaos,-10.66147309524196,0.08216651617776084,-0.5977105183933942,2.7263213391921752,-1.4831729738921728,0.06011017546801784,0.0,0.10517244062467551,0.5127466195727695
E6,leading,chaos,-10.575554654875212,0.2053213694742323,-0.7258016006816838,2.6780645701923684,-1.4034197621799633,0.06313962203995534,0.0,0.10753423565530111,0.5044953059735332
E6,leading,chaos,-10.578482305697198,-0.7868410279845306,-1.1021077873675948,2.569055828798469,-1.299497498338031,0.06222922788234639,0.0,0.10436218605015624,0.4796439426051836
E6,leading,chaos,-10.425918423003282,1.187171526176055,-0.9188939830334443,2.6306138589234154,-1.386496400018425,0.07388502626561175,0.0,0.1125311866558076,0.496565676679372
E6,leading,chaos,-10.519802885452924,0.8069969725947528,-0.776245266220764,2.601944440579729,-1.389446676222265,0.06937987645682851,0.0,0.10948975585859376,0.5019861949871023
E6,leading,chaos,-10.584968009344735,0.6311207877072333,-0.6724971879392291,2.5512047738312624,-1.3539401984105295,0.06674252251646469,0.0,0.10768367306875742,0.5063121946158486
E6,leading,chaos,-10.640473549533452,0.4560721212206723,-0.6500613895046582,2.5892460366359074,-1.3730356603360934,0.06439301311938707,0.0,0.10664042275716144,0.509061713651829
