source,band,wave,mean,std
NIMS_E6,88,2.900000000000002,0.0034922683526455744,0.001833858970578621
NIMS_E6,89,2.9250000000000016,0.0024423914291003272,0.001589445105131971
NIMS_E6,90,2.950000000000002,0.0015097131196233717,0.001709049070410855
NIMS_E6,91,2.9750000000000023,0.0016529209590065925,0.001583841032343568
NIMS_E6,92,3.0000000000000018,0.002399052186892366,0.0013067515203768116
NIMS_E6,93,3.025000000000002,0.0035845467780269624,0.0011878338117802627
NIMS_E6,94,3.0500000000000025,0.005329231104205402,0.001475268479020687
NIMS_E6,95,3.075000000000002,0.006580364556667275,0.00196092392459571
NIMS_E6,96,3.1000000000000023,0.006873428666032148,0.0020455619071522552
NIMS_E6,97,3.1250000000000018,0.007052655297197132,0.002225830545574584
NIMS_E6,98,3.150000000000002,0.006879172364759207,0.0021413651825570746
NIMS_E6,99,3.1750000000000025,0.006672033588212231,0.0020996289707218116
NIMS_E6,100,3.200000000000002,0.0062648295161280235,0.002037255494291007
NIMS_E6,101,3.2250000000000023,0.005882159918853809,0.002024054967332538
NIMS_E6,102,3.2500000000000027,0.006015234236012948,0.0018864134003255502
NIMS_E6,103,3.275000000000002,0.006079015309238092,0.0018174809002998306
NIMS_E6,104,3.3000000000000025,0.006236079444805873,0.0018573493363268998
NIMS_E6,105,3.325000000000002,0.007232691141457473,0.0020567129135546157
NIMS_E6,106,3.3500000000000023,0.008229302838109069,0.0029965485013427858
NIMS_E6,107,3.3750000000000027,0.009423500055176288,0.0022834649823400793
NIMS_E6,108,3.400000000000002,0.010617697272243537,0.0024486874075419557
NIMS_E6,109,3.4250000000000025,0.011968488292289095,0.0025887961269979837
NIMS_E6,110,3.450000000000003,0.013336678623776728,0.002843981366184196
NIMS_E6,111,3.4750000000000023,0.01417934943575062,0.0027382203449452186
NIMS_E6,112,3.5000000000000027,0.01489064036784605,0.0027269373352050387
NIMS_E6,113,3.525000000000002,0.01783300957713333,0.0028019989391585413
NIMS_E6,114,3.5500000000000025,0.019317796192394526,0.0027638163286053757
NIMS_E6,115,3.575000000000003,0.020522414352468498,0.0027748389097225377
NIMS_E6,116,3.6000000000000023,0.021204459651048467,0.002822085044567836
NIMS_E6,117,3.6250000000000027,0.021749263592064336,0.0030729287101914833
NIMS_E6,118,3.650000000000003,0.0219004815045093,0.003059889380929049
NIMS_E6,119,3.6750000000000025,0.021876519508283985,0.003223810921977981
NIMS_E6,120,3.700000000000003,0.021587442410520522,0.00323016405141235
NIMS_E6,121,3.7250000000000023,0.021112604391271134,0.0032084941872100145
NIMS_E6,122,3.7500000000000027,0.020502372378797405,0.003254176745015737
NIMS_E6,123,3.775000000000003,0.019747794704125743,0.0032801267588339713
NIMS_E6,124,3.8000000000000025,0.019050520662113636,0.003128295730911126
