volume,file,url,center_lon_w,hemisphere,geo_unit,terrain,group,n_bands,wave_min_um,wave_max_um,coverage_0p7_2p0,coverage_0p7_5p2,incidence_angle,emission_angle,phase_angle,label_error,abs_lon_to_apex_or_anti,n_valid_pixels,missing_frac,ood_dist_0p7_2p0,ood_ratio_0p7_2p0,screen_pass,screen_error,screen_set,obs_id,product
go_1115,14e001ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1115/europa/14e001ti.qub,205.665,trailing,pr,plains,trailing_plains,168.0,0.6927,2.9927,1.0,0.0,49.42,26.95,76.37,,64.33500000000001,629,0.0469696969696969,1.6613922525154068,29.84691857592919,False,,top8_each_group,140.0,ti
go_1115,14e001tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1115/europa/14e001tr.qub,205.665,trailing,pr,plains,trailing_plains,168.0,0.6927,2.9927,1.0,0.0,49.42,26.95,76.37,,64.33500000000001,629,0.0469696969696969,2.427173955309656,43.60418998226398,False,,top8_each_group,140.0,tr
go_1117,17e008ci.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e008ci.qub,201.72,trailing,pr,plains,trailing_plains,360.0,0.6943,5.274,1.0,1.0,79.28,43.03,58.81,,68.28,4930,0.489225031081641,0.3982154655114476,7.153942458080469,True,,top8_each_group,1700000000.0,ci
go_1117,17e008cr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e008cr.qub,201.72,trailing,pr,plains,trailing_plains,360.0,0.6943,5.274,1.0,1.0,79.28,43.03,58.81,,68.28,4930,0.489225031081641,2.60606250798059,46.81792355881784,False,,top8_each_group,1700000000.0,cr
go_1117,17e008ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e008ti.qub,201.72,trailing,pr,plains,trailing_plains,360.0,0.6943,5.274,1.0,1.0,77.64,44.09,57.43,,68.28,2660,0.0074626865671642,1.2206815124939765,21.929548338381903,True,,top8_each_group,1700000000.0,ti
go_1117,17e008tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e008tr.qub,201.72,trailing,pr,plains,trailing_plains,360.0,0.6943,5.274,1.0,1.0,77.64,44.09,57.43,,68.28,2660,0.0074626865671642,2.537430247203148,45.58494471471596,False,,top8_each_group,1700000000.0,tr
go_1116,15e001ci.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1116/europa/15e001ci.qub,105.555,leading,pr,plains,leading_plains,360.0,0.6887,5.2592,1.0,1.0,84.19,31.76,115.13,,15.555000000000009,865,0.2311111111111111,1.9051316379374224,34.22569762670634,False,,leading_plains_all_coverage,150.0,ci
go_1116,15e001cr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1116/europa/15e001cr.qub,105.555,leading,pr,plains,leading_plains,360.0,0.6887,5.2592,1.0,1.0,84.19,31.76,115.13,,15.555000000000009,865,0.2311111111111111,2.576864185483933,46.29337557636999,False,,leading_plains_all_coverage,150.0,cr
go_1116,15e001ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1116/europa/15e001ti.qub,105.555,leading,pr,plains,leading_plains,360.0,0.6887,5.2592,1.0,1.0,78.68,36.47,115.15,,15.555000000000009,660,0.0,2.4915202274112764,44.76017102236688,False,,leading_plains_all_coverage,150.0,ti
go_1116,15e001tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1116/europa/15e001tr.qub,105.555,leading,pr,plains,leading_plains,360.0,0.6887,5.2592,1.0,1.0,78.68,36.47,115.15,,15.555000000000009,660,0.0,2.314410671967506,41.57839713823701,False,,leading_plains_all_coverage,150.0,tr
go_1116,15e002ci.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1116/europa/15e002ci.qub,106.09,leading,pr,plains,leading_plains,240.0,0.6887,4.4101,1.0,0.0,83.99,31.92,115.09,,16.090000000000003,855,0.24,1.9015420580173048,34.16121080883697,False,,leading_plains_all_coverage,1500.0,ci
go_1116,15e002cr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1116/europa/15e002cr.qub,106.09,leading,pr,plains,leading_plains,240.0,0.6887,4.4101,1.0,0.0,83.99,31.92,115.09,,16.090000000000003,855,0.24,2.462442870439085,44.23779618605822,False,,leading_plains_all_coverage,1500.0,cr
go_1116,15e002ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1116/europa/15e002ti.qub,106.09,leading,pr,plains,leading_plains,240.0,0.6887,4.4101,1.0,0.0,78.4,36.71,115.11,,16.090000000000003,640,0.0,2.028578702600155,36.4434246456253,False,,leading_plains_all_coverage,1500.0,ti
go_1116,15e002tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1116/europa/15e002tr.qub,106.09,leading,pr,plains,leading_plains,240.0,0.6887,4.4101,1.0,0.0,78.4,36.71,115.11,,16.090000000000003,640,0.0,2.1901994349448777,39.34694175976343,False,,leading_plains_all_coverage,1500.0,tr
go_1118,25e004ci.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1118/europa/25e004ci.qub,33.085,leading,pr,plains,leading_plains,15.0,0.587,4.6967,1.0,0.0,73.78,46.81,35.28,,56.915,3262,0.3707561728395061,0.8828883490712658,15.861092783157932,True,,leading_plains_all_coverage,250000.0,ci
go_1118,25e004cr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1118/europa/25e004cr.qub,33.085,leading,pr,plains,leading_plains,15.0,0.587,4.6967,1.0,0.0,73.78,46.81,35.28,,56.915,3262,0.3707561728395061,1.6514974559234872,29.66915851489769,False,,leading_plains_all_coverage,250000.0,cr
go_1118,25e004ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1118/europa/25e004ti.qub,33.085,leading,pr,plains,leading_plains,15.0,0.587,4.6967,1.0,0.0,73.51,44.41,35.67,,56.915,36096,0.0072607260726073,2.14302295162347,38.49941604495354,False,,leading_plains_all_coverage,250000.0,ti
go_1118,25e004tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1118/europa/25e004tr.qub,33.085,leading,pr,plains,leading_plains,15.0,0.587,4.6967,1.0,0.0,73.51,44.41,35.67,,56.915,36096,0.0072607260726073,2.750253612024078,49.40831732961063,False,,leading_plains_all_coverage,250000.0,tr
