setting,model,n_train,n_test,positive_rate_test,pr_auc,roc_auc,precision_at_10pct,recall_at_top10pct,brier,fpr_radiation_mimic_top10pct,fpr_exogenic_complex_organic_top10pct,top10_positive_count,top10_radiation_mimic_count,top10_exogenic_count,top10_noise_count,top10_ocean_nonorganic_count,seed,noise_condition,smoothing_window
spectral_only,logreg,5600,2400,0.18083333333333335,0.8762783566417722,0.9611459324648048,0.95,0.5253456221198156,0.08428323467901722,0.0,0.0,228,0,0,0,12,3425,moderate,5
spectral_geology,logreg,5600,2400,0.18083333333333335,0.9051539003981369,0.9724674301840974,0.9833333333333333,0.543778801843318,0.07183966534117524,0.0,0.0,236,0,0,0,4,3425,moderate,5
spectral_radiation,logreg,5600,2400,0.18083333333333335,0.8836298050581785,0.9636458035450586,0.9708333333333333,0.5368663594470046,0.08111422027202,0.0,0.0,233,0,0,0,7,3425,moderate,5
full,logreg,5600,2400,0.18083333333333335,0.9087738177052425,0.9735222281082552,0.9875,0.5460829493087558,0.0705136799433653,0.0,0.0,237,0,0,0,3,3425,moderate,5
context_only,logreg,5600,2400,0.18083333333333335,0.4433211388712317,0.8594352846313599,0.42916666666666664,0.23732718894009217,0.15637526145183783,0.0,0.0,103,0,0,0,137,3425,moderate,5
spectral_only,logreg,5600,2400,0.17833333333333334,0.8860429530815428,0.9677399480578568,0.9666666666666667,0.5420560747663551,0.06932900506943,0.0,0.0,232,0,0,0,8,3426,moderate,5
spectral_geology,logreg,5600,2400,0.17833333333333334,0.9198106628262361,0.9768665522928476,0.975,0.5467289719626168,0.05715087837161893,0.0,0.0,234,0,0,0,6,3426,moderate,5
spectral_radiation,logreg,5600,2400,0.17833333333333334,0.890858450651323,0.9699591003014161,0.9625,0.5397196261682243,0.0666566021569326,0.0,0.0,231,0,0,0,9,3426,moderate,5
full,logreg,5600,2400,0.17833333333333334,0.9232685887598535,0.9780158196053155,0.9875,0.5537383177570093,0.0560051209806054,0.0,0.0,237,0,0,0,3,3426,moderate,5
context_only,logreg,5600,2400,0.17833333333333334,0.45369192890448323,0.8663674622282042,0.44166666666666665,0.24766355140186916,0.14527634505569864,0.0,0.0,106,0,0,0,134,3426,moderate,5
spectral_only,logreg,5600,2400,0.17708333333333334,0.9033890654568536,0.9697548771407297,0.9791666666666666,0.5529411764705883,0.06635846450412576,0.0,0.0,235,0,0,3,2,3427,moderate,5
spectral_geology,logreg,5600,2400,0.17708333333333334,0.9315976971020554,0.9794549516008936,1.0,0.5647058823529412,0.05253353768292533,0.0,0.0,240,0,0,0,0,3427,moderate,5
spectral_radiation,logreg,5600,2400,0.17708333333333334,0.9041693809834871,0.9697203276247207,0.9791666666666666,0.5529411764705883,0.06531282928908755,0.0,0.0,235,0,0,3,2,3427,moderate,5
full,logreg,5600,2400,0.17708333333333334,0.931933973495513,0.9792214445271781,1.0,0.5647058823529412,0.052244594168937966,0.0,0.0,240,0,0,0,0,3427,moderate,5
context_only,logreg,5600,2400,0.17708333333333334,0.4615639893873583,0.8728816083395383,0.44583333333333336,0.25176470588235295,0.14068345852907346,0.0,0.0,107,0,0,0,133,3427,moderate,5
spectral_only,logreg,5600,2400,0.18333333333333332,0.900734964383607,0.9686386827458257,0.9708333333333333,0.5295454545454545,0.07176380473733862,0.0,0.0,233,0,0,3,4,3428,moderate,5
spectral_geology,logreg,5600,2400,0.18333333333333332,0.930142997646189,0.9788392857142857,0.9833333333333333,0.5363636363636364,0.060652436382100466,0.0,0.0,236,0,0,0,4,3428,moderate,5
spectral_radiation,logreg,5600,2400,0.18333333333333332,0.9104911029536601,0.9708511131725418,0.9708333333333333,0.5295454545454545,0.06859975723394783,0.0,0.0,233,0,0,1,6,3428,moderate,5
full,logreg,5600,2400,0.18333333333333332,0.933074231625984,0.9795269016697589,0.9916666666666667,0.5409090909090909,0.05983186506332496,0.0,0.0,238,0,0,0,2,3428,moderate,5
context_only,logreg,5600,2400,0.18333333333333332,0.47073487923386004,0.8631180426716142,0.44166666666666665,0.2409090909090909,0.150468849817936,0.0,0.0,106,0,0,0,134,3428,moderate,5
spectral_only,logreg,5600,2400,0.18791666666666668,0.9048458808689464,0.9702627648040556,0.9666666666666667,0.5144124168514412,0.06965655369153524,0.0,0.0,232,0,0,4,4,3429,moderate,5
spectral_geology,logreg,5600,2400,0.18791666666666668,0.9298878828611493,0.9775085068356164,0.9916666666666667,0.5277161862527716,0.06328499468677985,0.0,0.0,238,0,0,1,1,3429,moderate,5
spectral_radiation,logreg,5600,2400,0.18791666666666668,0.9116054632134215,0.97221157248188,0.975,0.5188470066518847,0.06790849699668795,0.0,0.0,234,0,0,3,3,3429,moderate,5
full,logreg,5600,2400,0.18791666666666668,0.9319408733796177,0.9780841616429599,0.9833333333333333,0.5232815964523282,0.06288201697886085,0.0,0.0,236,0,0,1,3,3429,moderate,5
context_only,logreg,5600,2400,0.18791666666666668,0.4145806962181935,0.8454162063893131,0.3875,0.20620842572062084,0.15921088734350344,0.0,0.0,93,0,0,0,147,3429,moderate,5
spectral_only,logreg,5600,2400,0.17708333333333334,0.8756379500891852,0.96318808637379,0.9458333333333333,0.5341176470588235,0.07739385012784142,0.0,0.0,227,0,0,2,11,3430,moderate,5
spectral_geology,logreg,5600,2400,0.17708333333333334,0.9173385827554907,0.9767588979895756,0.9791666666666666,0.5529411764705883,0.06142055077568644,0.0,0.0,235,0,0,0,5,3430,moderate,5
