pair_id,delta_spectral_only_exchange_minus_radiation,delta_full_exchange_minus_radiation,score_spectral_exchange,score_spectral_radiation,score_full_exchange,score_full_radiation
55,0.0,0.9971840955382131,0.6059728043300993,0.6059728043300993,0.9972247024312981,4.060689308507127e-05
56,0.0,0.9983062448093535,0.5811990666410671,0.5811990666410671,0.9987042906244809,0.00039804581512734136
57,0.0,0.5827424435928337,0.6012505770930333,0.6012505770930333,0.5827426130386397,1.6944580601800898e-07
58,0.0,0.6903301159601665,0.6511181695903858,0.6511181695903858,0.6903308706779999,7.54717833414438e-07
59,0.0,0.9925182588194141,0.5291214174375651,0.5291214174375651,0.9999927214891794,0.007474462669765208
60,0.0,0.5253349104070922,0.6516056359697427,0.6516056359697427,0.5253350760415954,1.6563450312936839e-07
61,0.0,0.9985831112910823,0.5210548269654491,0.5210548269654491,0.9998263600491296,0.0012432487580472482
62,0.0,0.9953077933781229,0.5301241016559227,0.5301241016559227,0.9999667070242453,0.004658913646122352
63,0.0,0.5491150110374735,0.6114024012351003,0.6114024012351003,0.5491153855248166,3.744873431418865e-07
64,0.0,0.5665900631922415,0.45770996202734965,0.45770996202734965,0.5665901215629333,5.837069188569132e-08
65,0.0,0.7409446444811887,0.5158912412575677,0.5158912412575677,0.7409451271097347,4.826285460414399e-07
66,0.0,0.8607240972181673,0.42934147846800313,0.42934147846800313,0.8607266905924488,2.593374281484353e-06
67,0.0,0.9945435924179828,0.5495203830088934,0.5495203830088934,0.9945585142179955,1.49218000126378e-05
68,0.0,0.9989171888250843,0.41207321311292605,0.41207321311292605,0.9992242512512645,0.0003070624261801607
69,0.0,0.9508419789515089,0.4474821465420077,0.4474821465420077,0.9508426083235625,6.29372053637641e-07
70,0.0,0.16021781133313184,0.5981763818071448,0.5981763818071448,0.16021783085167118,1.9518539342885064e-08
71,0.0,0.9953614586906835,0.5176625361430622,0.5176625361430622,0.999982339939606,0.004620881248922407
72,0.0,0.9977217542856127,0.4472204643480437,0.4472204643480437,0.9999565260563102,0.0022347717706974993
73,0.0,0.9979567563274853,0.6652396571960129,0.6652396571960129,0.9979946114469964,3.7855119511181885e-05
74,0.0,0.8590219950410409,0.45005212656058974,0.45005212656058974,0.8590277590552402,5.764014199231141e-06
75,0.0,0.916860700244579,0.6016858435753536,0.6016858435753536,0.9168619896665424,1.2894219633857873e-06
76,0.0,0.8942512923216313,0.4758742693071818,0.4758742693071818,0.8942516641823683,3.7186073713281e-07
77,0.0,0.9920783245708494,0.4331592482230523,0.4331592482230523,0.9920889205890572,1.0596018207776058e-05
78,0.0,0.8765236603381614,0.48426326754072724,0.48426326754072724,0.8765252559203828,1.5955822213936052e-06
79,0.0,0.8206279325573299,0.6489245248990917,0.6489245248990917,0.8206288007285918,8.68171261873769e-07
80,0.0,0.3383343241627384,0.6550857534825066,0.6550857534825066,0.3383343515149312,2.7352192796033227e-08
81,0.0,0.53162103712086,0.5386185231847814,0.5386185231847814,0.5316211065347174,6.941385747990695e-08
82,0.0,0.9924503617170214,0.6592592185222569,0.6592592185222569,0.9924575016793964,7.139962375051565e-06
83,0.0,0.8119192596117323,0.5761944095438463,0.5761944095438463,0.8119193566321473,9.702041501585169e-08
84,0.0,0.998696331078394,0.4933333260347091,0.4933333260347091,0.9999118444871702,0.00121551340877628
85,0.0,0.5909543017198563,0.5711263332709868,0.5711263332709868,0.5909544867521562,1.8503229987538646e-07
86,0.0,0.9964051363149866,0.49516622551176154,0.49516622551176154,0.9999822227540986,0.003577086439112058
87,0.0,0.8823169925634021,0.6560571980903849,0.6560571980903849,0.8823180586317722,1.066068370049189e-06
88,0.0,0.9620355781550751,0.6075722844613738,0.6075722844613738,0.9620360757104559,4.975553807713413e-07
89,0.0,0.9963760747506545,0.5393960414395975,0.5393960414395975,0.9963824474646306,6.372713976072985e-06
90,0.0,0.9772698452414147,0.6354135952655251,0.6354135952655251,0.9772705154555694,6.702141546873929e-07
91,0.0,0.9972094718225728,0.5979110811083943,0.5979110811083943,0.9972336863244838,2.4214501911081753e-05
92,0.0,0.818131347982503,0.6946328710468153,0.6946328710468153,0.8181339598597445,2.6118772415049408e-06
93,0.0,0.9982525093561054,0.540951340132362,0.540951340132362,0.9998258488524446,0.0015733394963391824
94,0.0,0.9292823330010985,0.5401020276280206,0.5401020276280206,0.9292843457357596,2.012734661028588e-06
95,0.0,0.9615334023837375,0.5160063734364363,0.5160063734364363,0.9615356812599195,2.2788761819958386e-06
96,0.0,0.9717160576779003,0.6903227961170939,0.6903227961170939,0.9717172081289728,1.1504510725090228e-06
97,0.0,0.920267303828086,0.5375898306408261,0.5375898306408261,0.9202676989788129,3.951507269197651e-07
98,0.0,0.9117218032230889,0.5976062768540326,0.5976062768540326,0.9117238341572842,2.0309341952712966e-06
99,0.0,0.9907659116160205,0.48309438324157655,0.48309438324157655,0.9907752938576004,9.382241580017266e-06
