setting,model,n_subset,positive_rate_subset,pr_auc,roc_auc,precision_at_10pct,recall_at_top10pct,brier,fpr_radiation_mimic_top10pct,fpr_exogenic_complex_organic_top10pct,top10_positive_count,top10_radiation_mimic_count,top10_exogenic_count,top10_noise_count,top10_ocean_nonorganic_count,seed,ambiguous_low,ambiguous_high
full,logreg,96,0.23958333333333334,0.8553223105602277,0.946396664681358,0.8888888888888888,0.34782608695652173,0.09451822585415554,0.0,0.0,8,0,0,0,1,3424,0.4,0.7
context_only,logreg,96,0.23958333333333334,0.35485543371991557,0.7075640262060751,0.2222222222222222,0.08695652173913043,0.2893211145584757,0.0,0.0,2,0,0,0,7,3424,0.4,0.7
spectral_only,logreg,117,0.1794871794871795,0.24461579046276433,0.5863095238095238,0.18181818181818182,0.09523809523809523,0.28289377738136595,0.1,0.0,2,1,0,2,6,3425,0.4,0.7
full,logreg,117,0.1794871794871795,0.6996580783610205,0.8983134920634921,0.8181818181818182,0.42857142857142855,0.14009242789065768,0.1,0.0,9,1,0,0,1,3425,0.4,0.7
context_only,logreg,117,0.1794871794871795,0.23971287976064243,0.6403769841269841,0.18181818181818182,0.09523809523809523,0.365129756955113,0.0,0.0,2,0,0,0,9,3425,0.4,0.7
spectral_only,logreg,103,0.21359223300970873,0.28110477710187637,0.6167227833894501,0.2,0.09090909090909091,0.2727918062058679,0.0,0.3333333333333333,2,0,1,0,7,3426,0.4,0.7
full,logreg,103,0.21359223300970873,0.8127180510622432,0.8961840628507295,1.0,0.45454545454545453,0.11578295384369972,0.0,0.0,10,0,0,0,0,3426,0.4,0.7
context_only,logreg,103,0.21359223300970873,0.3262159476798822,0.6773288439955107,0.2,0.09090909090909091,0.33135691547801654,0.0,0.0,2,0,0,0,8,3426,0.4,0.7
spectral_only,logreg,99,0.2222222222222222,0.2996562685755224,0.5926800472255017,0.3333333333333333,0.13636363636363635,0.2837124884491274,0.1,0.0,3,1,0,1,4,3427,0.4,0.7
full,logreg,99,0.2222222222222222,0.8560006660006659,0.9391971664698937,1.0,0.4090909090909091,0.11106984877801251,0.0,0.0,9,0,0,0,0,3427,0.4,0.7
context_only,logreg,99,0.2222222222222222,0.2793857367097252,0.6328217237308147,0.1111111111111111,0.045454545454545456,0.3375223702689471,0.0,0.0,1,0,0,0,8,3427,0.4,0.7
spectral_only,logreg,93,0.21505376344086022,0.3503682818593642,0.6273972602739726,0.2222222222222222,0.1,0.27670599375284594,0.0,0.0,2,0,0,1,6,3428,0.4,0.7
full,logreg,93,0.21505376344086022,0.8636883647833344,0.9465753424657535,1.0,0.45,0.12671546266531825,0.0,0.0,9,0,0,0,0,3428,0.4,0.7
context_only,logreg,93,0.21505376344086022,0.4339314643078832,0.7219178082191781,0.5555555555555556,0.25,0.335467215963591,0.0,0.0,5,0,0,0,4,3428,0.4,0.7
spectral_only,logreg,108,0.18518518518518517,0.2590074080139518,0.5727272727272728,0.3,0.15,0.2841249231459869,0.2857142857142857,0.0,3,4,0,1,2,3429,0.4,0.7
full,logreg,108,0.18518518518518517,0.5578330932327046,0.8005681818181818,0.7,0.35,0.22857966889558487,0.0,0.0,7,0,0,0,3,3429,0.4,0.7
context_only,logreg,108,0.18518518518518517,0.26456888541877854,0.5835227272727272,0.2,0.1,0.40892693638873834,0.0,0.0,2,0,0,0,8,3429,0.4,0.7
spectral_only,logreg,103,0.2524271844660194,0.31904560956489625,0.5894105894105894,0.3,0.11538461538461539,0.2805075520222608,0.06666666666666667,,3,1,0,4,2,3430,0.4,0.7
full,logreg,103,0.2524271844660194,0.856908392337472,0.9015984015984017,1.0,0.38461538461538464,0.13454666089648618,0.0,,10,0,0,0,0,3430,0.4,0.7
context_only,logreg,103,0.2524271844660194,0.392121004693087,0.7302697302697303,0.3,0.11538461538461539,0.29507917231488684,0.0,,3,0,0,0,7,3430,0.4,0.7
spectral_only,logreg,97,0.25773195876288657,0.38443913125763185,0.6016666666666667,0.5555555555555556,0.2,0.27579499349985603,0.0,0.0,5,0,0,0,4,3431,0.4,0.7
full,logreg,97,0.25773195876288657,0.7333461606954916,0.8872222222222222,0.7777777777777778,0.28,0.15247917622262133,0.0,0.0,7,0,0,0,2,3431,0.4,0.7
context_only,logreg,97,0.25773195876288657,0.43863880192546595,0.6872222222222222,0.4444444444444444,0.16,0.33629198149247164,0.0,0.0,4,0,0,0,5,3431,0.4,0.7
