setting,model,n_train,n_test,positive_rate_test,pr_auc,roc_auc,precision_at_10pct,recall_at_top10pct,brier,fpr_radiation_mimic_top10pct,fpr_exogenic_complex_organic_top10pct,top10_positive_count,top10_radiation_mimic_count,top10_exogenic_count,top10_noise_count,top10_ocean_nonorganic_count,seed,noise_condition,smoothing_window
spectral_only,logreg,5600,2400,0.17166666666666666,0.9563150037850329,0.9885209314137251,0.9833333333333333,0.5728155339805825,0.04140140966261395,0.001445086705202312,0.0,236,1,0,3,0,3435,moderate,5
spectral_geology,logreg,5600,2400,0.17166666666666666,0.982883673577573,0.9952811529370398,1.0,0.5825242718446602,0.022899449651695204,0.0,0.0,240,0,0,0,0,3435,moderate,5
spectral_radiation,logreg,5600,2400,0.17166666666666666,0.9613527155543032,0.9901081244750054,0.9916666666666667,0.5776699029126213,0.03807741793506981,0.0,0.0,238,0,0,2,0,3435,moderate,5
full,logreg,5600,2400,0.17166666666666666,0.9840946673197066,0.9956498700943526,1.0,0.5825242718446602,0.02147715962253742,0.0,0.0,240,0,0,0,0,3435,moderate,5
context_only,logreg,5600,2400,0.17166666666666666,0.47679066119503555,0.8753162176945166,0.5,0.2912621359223301,0.14076322399154595,0.0,0.0,120,0,0,0,120,3435,moderate,5
spectral_only,logreg,5600,2400,0.18041666666666667,0.9510702019027959,0.9878256826552668,0.9791666666666666,0.5427251732101617,0.041311586130267273,0.0,0.0,235,0,0,5,0,3436,moderate,5
spectral_geology,logreg,5600,2400,0.18041666666666667,0.9849373017622628,0.9960843525562075,1.0,0.5542725173210161,0.025626385244301567,0.0,0.0,240,0,0,0,0,3436,moderate,5
spectral_radiation,logreg,5600,2400,0.18041666666666667,0.957023891283832,0.9896889907492096,0.9791666666666666,0.5427251732101617,0.03763754985728221,0.0,0.0,235,0,0,5,0,3436,moderate,5
full,logreg,5600,2400,0.18041666666666667,0.9859966581161234,0.9963332632782717,1.0,0.5542725173210161,0.024206443716790507,0.0,0.0,240,0,0,0,0,3436,moderate,5
context_only,logreg,5600,2400,0.18041666666666667,0.454335916527735,0.8661435627812721,0.49583333333333335,0.2748267898383372,0.14935382271456454,0.0,0.0,119,0,0,0,121,3436,moderate,5
spectral_only,logreg,5600,2400,0.18416666666666667,0.9530399240259105,0.98666568065114,0.9833333333333333,0.5339366515837104,0.0384383441078771,0.0,0.0,236,0,0,3,1,3437,moderate,5
spectral_geology,logreg,5600,2400,0.18416666666666667,0.981632320841233,0.9949609214315096,0.9958333333333333,0.5407239819004525,0.02159807535065655,0.0,0.0,239,0,0,1,0,3437,moderate,5
spectral_radiation,logreg,5600,2400,0.18416666666666667,0.9580158884244437,0.988066130828854,0.9875,0.5361990950226244,0.03673085531809562,0.0,0.0,237,0,0,2,1,3437,moderate,5
full,logreg,5600,2400,0.18416666666666667,0.9821630386408445,0.9950995798649467,0.9958333333333333,0.5407239819004525,0.02159978846544187,0.0,0.0,239,0,0,1,0,3437,moderate,5
context_only,logreg,5600,2400,0.18416666666666667,0.4555083095171588,0.865000993718773,0.4583333333333333,0.248868778280543,0.14481478506403314,0.0,0.0,110,0,0,0,130,3437,moderate,5
spectral_only,logreg,5600,2400,0.17916666666666667,0.9628475807477651,0.9890851139180735,0.9958333333333333,0.5558139534883721,0.03842788379513087,0.0,0.0,239,0,0,1,0,3438,moderate,5
spectral_geology,logreg,5600,2400,0.17916666666666667,0.981920762536293,0.9945283909809939,1.0,0.5581395348837209,0.02474935937155546,0.0,0.0,240,0,0,0,0,3438,moderate,5
spectral_radiation,logreg,5600,2400,0.17916666666666667,0.9649750617637223,0.9895100932593555,0.9958333333333333,0.5558139534883721,0.0361031353963672,0.0,0.0,239,0,0,1,0,3438,moderate,5
full,logreg,5600,2400,0.17916666666666667,0.9829675306560297,0.9948849014284028,1.0,0.5581395348837209,0.023191810361052757,0.0,0.0,240,0,0,0,0,3438,moderate,5
context_only,logreg,5600,2400,0.17916666666666667,0.4325552793334795,0.8591476803210956,0.4,0.22325581395348837,0.14818929816702486,0.0,0.0,96,0,0,0,144,3438,moderate,5
spectral_only,logreg,5600,2400,0.18375,0.9572387225761998,0.9876180521553526,1.0,0.54421768707483,0.04162079668942444,0.0,0.0,240,0,0,0,0,3439,moderate,5
spectral_geology,logreg,5600,2400,0.18375,0.9848537409806899,0.9960528706973686,1.0,0.54421768707483,0.023379356765091983,0.0,0.0,240,0,0,0,0,3439,moderate,5
spectral_radiation,logreg,5600,2400,0.18375,0.9606221790777325,0.988760520372859,1.0,0.54421768707483,0.038686689410571906,0.0,0.0,240,0,0,0,0,3439,moderate,5
full,logreg,5600,2400,0.18375,0.9851317193891191,0.9962010327357079,1.0,0.54421768707483,0.02269263214432203,0.0,0.0,240,0,0,0,0,3439,moderate,5
context_only,logreg,5600,2400,0.18375,0.4786015953583071,0.8785812095809907,0.475,0.2585034013605442,0.1365688437450025,0.0,0.0,114,0,0,0,126,3439,moderate,5
spectral_only,logreg,5600,2400,0.17416666666666666,0.9590959098827901,0.9884233218584485,0.9958333333333333,0.5717703349282297,0.038526567637823694,0.0,0.0,239,0,0,1,0,3440,moderate,5
spectral_geology,logreg,5600,2400,0.17416666666666666,0.9820219001064031,0.9952020336135265,1.0,0.5741626794258373,0.024815766444547083,0.0,0.0,240,0,0,0,0,3440,moderate,5
spectral_radiation,logreg,5600,2400,0.17416666666666666,0.9597418405059045,0.9888663039122437,0.9916666666666667,0.569377990430622,0.03716926151625411,0.0,0.0,238,0,0,1,1,3440,moderate,5
full,logreg,5600,2400,0.17416666666666666,0.9818203655642975,0.9951996195423887,1.0,0.5741626794258373,0.023719127765863216,0.0,0.0,240,0,0,0,0,3440,moderate,5
context_only,logreg,5600,2400,0.17416666666666666,0.4594566889855253,0.8715919350711426,0.4708333333333333,0.2703349282296651,0.14478525793949212,0.0,0.0,113,0,0,0,127,3440,moderate,5
