setting,model,n_subset,positive_rate_subset,pr_auc,roc_auc,precision_at_10pct,recall_at_top10pct,brier,fpr_radiation_mimic_top10pct,fpr_exogenic_complex_organic_top10pct,top10_positive_count,top10_radiation_mimic_count,top10_exogenic_count,top10_noise_count,top10_ocean_nonorganic_count,seed,ambiguous_low,ambiguous_high
spectral_only,logreg,181,0.20994475138121546,0.32896622074822385,0.6486934118513066,0.3888888888888889,0.18421052631578946,0.2752161148612654,0.0,0.0,7,0,0,2,9,3436,0.4,0.7
full,logreg,181,0.20994475138121546,0.6906898752124437,0.8724696356275303,0.7777777777777778,0.3684210526315789,0.1832941868376429,0.0,0.0,14,0,0,0,4,3436,0.4,0.7
context_only,logreg,181,0.20994475138121546,0.31577418396308976,0.6783216783216783,0.2222222222222222,0.10526315789473684,0.4036082107741763,0.0,0.0,4,0,0,0,14,3436,0.4,0.7
spectral_only,logreg,172,0.3081395348837209,0.350592255965508,0.5685745996511813,0.35294117647058826,0.11320754716981132,0.2699978737647494,0.0,0.0,6,0,0,1,10,3437,0.4,0.7
full,logreg,172,0.3081395348837209,0.6391777232749568,0.7624861265260822,0.8235294117647058,0.2641509433962264,0.21146272638109637,0.0,0.0,14,0,0,0,3,3437,0.4,0.7
context_only,logreg,172,0.3081395348837209,0.40906021070110277,0.6215316315205328,0.4117647058823529,0.1320754716981132,0.35645032974849317,0.0,0.0,7,0,0,0,10,3437,0.4,0.7
spectral_only,logreg,175,0.17142857142857143,0.27293942105361046,0.5972413793103447,0.23529411764705882,0.13333333333333333,0.28396107100188106,0.2,0.0,4,2,0,1,10,3438,0.4,0.7
full,logreg,175,0.17142857142857143,0.41053485947035406,0.7112643678160919,0.47058823529411764,0.26666666666666666,0.24974453031476482,0.0,0.0,8,0,0,0,9,3438,0.4,0.7
context_only,logreg,175,0.17142857142857143,0.17255970144715227,0.5303448275862069,0.058823529411764705,0.03333333333333333,0.413852562689182,0.0,0.0,1,0,0,0,16,3438,0.4,0.7
spectral_only,logreg,157,0.24203821656050956,0.3086778362843467,0.5884564352056612,0.26666666666666666,0.10526315789473684,0.2785034245562938,0.10526315789473684,0.0,4,2,0,1,8,3439,0.4,0.7
full,logreg,157,0.24203821656050956,0.5277435599352815,0.7593984962406014,0.6666666666666666,0.2631578947368421,0.22694034615156786,0.0,0.0,10,0,0,0,5,3439,0.4,0.7
context_only,logreg,157,0.24203821656050956,0.28002263485243906,0.6203007518796992,0.2,0.07894736842105263,0.35876227192639953,0.0,0.0,3,0,0,0,12,3439,0.4,0.7
spectral_only,logreg,182,0.24175824175824176,0.3366488049225169,0.580368906455863,0.3888888888888889,0.1590909090909091,0.26544337261767675,0.0,0.0,7,0,0,0,11,3440,0.4,0.7
full,logreg,182,0.24175824175824176,0.5880946563272031,0.8234519104084321,0.5,0.20454545454545456,0.19565263931895654,0.0,0.0,9,0,0,0,9,3440,0.4,0.7
context_only,logreg,182,0.24175824175824176,0.2910266732654325,0.6138010540184453,0.2777777777777778,0.11363636363636363,0.38848603279368593,0.0,0.0,5,0,0,0,13,3440,0.4,0.7
