pair_id,delta_spectral_only_exchange_minus_radiation,delta_full_exchange_minus_radiation,score_spectral_exchange,score_spectral_radiation,score_full_exchange,score_full_radiation
28,0.0,0.9262924987487847,0.6536568936735393,0.6536568936735393,0.9272992518811084,0.0010067531323237021
29,0.0,0.8301023554017489,0.45892304920591526,0.45892304920591526,0.8301821510057015,7.979560395257205e-05
30,0.0,0.8808214518805002,0.46148068579688556,0.46148068579688556,0.8811605113295754,0.00033905944907522363
31,0.0,0.8598503722414776,0.5617810648147747,0.5617810648147747,0.8599728131650316,0.0001224409235539705
32,0.0,0.6623114985245467,0.6213013989462083,0.6213013989462083,0.6624122297506396,0.00010073122609289352
33,0.0,0.8768747429670115,0.6149670396415672,0.6149670396415672,0.877229278814373,0.00035453584736147933
34,0.0,0.7523508916447718,0.44273843034142896,0.44273843034142896,0.7524671911700596,0.00011629952528781476
35,0.0,0.91145346808239,0.6924907854777884,0.6924907854777884,0.9120453245128413,0.000591856430451282
36,0.0,0.7925989528282613,0.4442838110024509,0.4442838110024509,0.7926772329473368,7.828011907551346e-05
37,0.0,0.6942152352215032,0.44779398804195747,0.44779398804195747,0.69427703193509,6.179671358680574e-05
38,0.0,0.749925841416141,0.6743024086403372,0.6743024086403372,0.7499926193046513,6.67778885102393e-05
39,0.0,0.8951410649668377,0.57332039590804,0.57332039590804,0.8956455752160225,0.0005045102491848691
40,0.0,0.7996368495967475,0.6379895032345212,0.6379895032345212,0.799741034592384,0.00010418499563648686
41,0.0,0.9611976341399151,0.6990567971753074,0.6990567971753074,0.9617832048203506,0.0005855706804355338
42,0.0,0.9475923775176923,0.6355092363803041,0.6355092363803041,0.948013676719411,0.00042129920171862334
43,0.0,0.7251124907531981,0.41963095297285813,0.41963095297285813,0.7254689604132013,0.0003564696600032756
44,0.0,0.8883754305358823,0.5380118681495459,0.5380118681495459,0.8884583664223393,8.293588645699007e-05
45,0.0,0.8492158989898927,0.6285909519692685,0.6285909519692685,0.8493706462298458,0.00015474723995315728
46,0.0,0.9868959173322925,0.6927187421666055,0.6927187421666055,0.9964723791527152,0.009576461820422716
47,0.0,0.5468928717232615,0.4113189863576101,0.4113189863576101,0.546942289893392,4.941817013047569e-05
48,0.0,0.8481789435396637,0.559877864851351,0.559877864851351,0.8483620598552639,0.00018311631560021676
49,0.0,0.9725544966669782,0.6965817324883719,0.6965817324883719,0.9987417418396208,0.02618724517264261
50,0.0,0.5485069579379392,0.4692086605689225,0.4692086605689225,0.5485303658121198,2.3407874180513867e-05
51,0.0,0.8811585355433033,0.5241445291397362,0.5241445291397362,0.8813854859180313,0.0002269503747281298
52,0.0,0.7483276569330698,0.5757111573908296,0.5757111573908296,0.7483703692599026,4.2712326832844954e-05
53,0.0,0.9109940378275034,0.6902341685775104,0.6902341685775104,0.9112990896763685,0.00030505184886513934
54,0.0,0.987549611839687,0.6941172142338379,0.6941172142338379,0.9981814311480667,0.010631819308379588
55,0.0,0.9627958180792171,0.6983301553068707,0.6983301553068707,0.9635328766766323,0.0007370585974151971
56,0.0,0.5606612301295104,0.5134103064694233,0.5134103064694233,0.5607559871095104,9.475697999991574e-05
57,0.0,0.8986583926610802,0.4431699397930612,0.4431699397930612,0.8989169497679098,0.0002585571068296892
58,0.0,0.7662598198550312,0.43461331442817563,0.43461331442817563,0.7664494457386183,0.00018962588358711232
59,0.0,0.835052081415383,0.6022798957530953,0.6022798957530953,0.835140706244202,8.862482881898326e-05
60,0.0,0.3905228974661175,0.44170422577701723,0.44170422577701723,0.3905448541201146,2.1956653997070272e-05
61,0.0,0.9600673923011227,0.5807576008444848,0.5807576008444848,0.9610791642400623,0.0010117719389396388
62,0.0,0.7219285237400213,0.5172457312674856,0.5172457312674856,0.7220154603999703,8.693665994908649e-05
63,0.0,0.7830406121729292,0.6888927720705618,0.6888927720705618,0.7832294626867113,0.0001888505137821424
64,0.0,0.9737135291665745,0.6328823026776422,0.6328823026776422,0.9743074784154502,0.000593949248875644
